id_num,pic_id,Text,Metaphor,Target,Target category,Source,Source category,sentiment,Metaphor_2,yudi,annotation
6,51344.jpg,京东国际人京东入超级品类日3件5折33京东国际超级品类日立即抢购561650066仅限部分商品可用活动时间22633,1,护肤品,12,水,10,0.0,0,7,1
7,74886.jpg,小快京东秒杀爆款面膜买1赠1燕窝精粹拥有水嫩肌肤20燕窝京东小迷糊,0,,,,,0.0,0,,1
16,70995.jpg,代西子1玉容花养持妆粉底液外持妆内养妆,1,护肤品,12,百合,10,1.0,0,7,1
19,57571.jpg,苏宁国际进口母婴尖货抢99减50元神券039儿,0,,,,,1.0,0,,1
21,61336.jpg,品牌闪购大牌闪购专场百雀羚美妆护肤部分买一送一,1,口红,12,星光,8,0.0,0,3,1
24,60967.jpg,专京东如的节白里挑一尽情美丽买1享10件礼立即抢购30仅限部分美妆商品,1,护肤品,12,水,10,1.0,0,7,1
31,58059.jpg,自然旋律唯品会特卖旺欢书双效净肤这组硫定了同价111个抢先购低至42元2瓶累计爆卖66净会部508净含量1508,1,护肤品,12,植物,11,1.0,0,7,1
43,a3757.jpg,淘清新果香让宝宝爱上刷牙专为6岁以下宝宝研制小流熊儿童乳牙宝牙膏儿童乳牙宝活动到手价温和呵护乳牙温和呵护乳牙会钙配方对抗娃合钙配方对抗鞋牙10防草蛋果查2争含量7净含量709无氟含钙配方软性磨料不伤牙木糖醇固齿添加钙成分不含采用高品质软性硅含益牙木糖醇维氟适合宝宝使用磨料不伤牙釉质生素蜂胶精华,1,牙膏,12,草莓,10,1.0,0,3,1
44,a1962.jpg,水能力防晒遇水加乘防水防汗持久耐晒轻松防晒一喷一抹搭档防晒效果真明显立即购买全国包邮货到付款35多维光护防暖隔离防护喷安,0,,,,,1.0,0,,1
45,51343.jpg,滋源精油奢护莹亮顺滑邢昭林力荐低至39元滋源天社油头皮护理凝萃润泽奢养精油护发素辅油润养莹亮顺滑台量400唯品会品牌特卖就是超值,1,护肤品,12,植物,6,0.0,0,7,1
47,61964.jpg,京东国际2大牌直隆1111好物狂欢盛典2213881990017,1,奶粉,12,跑道,12,1.0,0,8,1
49,18475.jpg,春日心动社万物皆可爱多劳爆款直降,1,护肤品,12,花,12,1.0,0,3,1
55,4599.jpg,健康年货满意加倍每满300减40场臣信健蛋白粉首存佳维牌多种维生素矿物质片11453388517办金量4509一本品不能警代药物,0,,,,,1.0,0,,1
56,a5577.jpg,永东珍市京东超市佳洁士京东超市99周年庆爆款低至99元佳洁士佳洁士3烤白炫白锁白政尚技术改尚技术致尚技术超值装仪限部分参与,1,牙膏,12,冰雪,10,0.0,0,3,1
61,16875.jpg,京东5超级品类日志高智能芯片多功能模式全方位按摩为您缓解压力小家电超级品类日,0,,,,,0.0,0,,1
63,6401.jpg,大牌神苏日蓝月亮亮白增艳洗衣液领券99减55立即购买蓝月克,1,洗衣液,12,薰衣草,6,0.0,0,3,1
64,65835.jpg,99减88抢月明茶情福满中秋益益中含量357克青河茶热装中华老字号大益茶74521901,0,,,,,1.0,0,,1
67,47547.jpg,905湘西美技节抢爆款买1套送1套量唯品会都是好牌子天天有3折品牌特卖全网明星套装底价入立即抢购,0,,,,,1.0,0,,1
72,15834.jpg,舞珀莱雅抗初老星品紧致礼盒装唯品会品牌特卖就是超值,0,,,,,0.0,0,,1
75,27050.jpg,品牌利杀著存年货盛宴健康相伴领券399减100警存佳维牌钙尔奇多种维生素矿物质片添佳片锌大本品不能替代药品京东,0,,,,,1.0,0,,1
76,31368.jpg,唯品会品牌特卖全场至高买1享13件礼0元抢玻色因眼霜第二瓶量低至22折即刻抢购06,0,,,,,0.0,0,,1
81,90550.jpg,唯品会推荐唯品会品牌特卖就是超值唯品会品牌特卖欧诗漫上唯品会看看,0,,,,,0.0,0,,1
